bf0,bf1,bf2
-0.24169184290030213,-0.36363636363636365,-0.2105263157894737
-0.23452301705156434,-0.35285053929121724,-0.20428189116859946
-0.2273541912028266,-0.34206471494607094,-0.19803746654772528
-0.2201853653540888,-0.3312788906009245,-0.19179304192685104
-0.21301653950535102,-0.3204930662557781,-0.1855486173059768
-0.20584771365661328,-0.30970724191063176,-0.17930419268510264
-0.1986788878078755,-0.29892141756548535,-0.1730597680642284
-0.1915100619591377,-0.28813559322033894,-0.16681534344335416
-0.18434123611039996,-0.27734976887519264,-0.16057091882247998
-0.17717241026166217,-0.2665639445300462,-0.15432649420160574
-0.17000358441292437,-0.2557781201848998,-0.1480820695807315
-0.16283475856418664,-0.24499229583975352,-0.14183764495985732
-0.15566593271544885,-0.2342064714946071,-0.13559322033898308
-0.14849710686671105,-0.2234206471494607,-0.12934879571810884
-0.14132828101797332,-0.2126348228043144,-0.12310437109723467
-0.13415945516923553,-0.20184899845916798,-0.11685994647636043
-0.12699062932049773,-0.19106317411402157,-0.11061552185548619
-0.11982180347175993,-0.18027734976887516,-0.10437109723461195
-0.11265297762302214,-0.16949152542372875,-0.09812667261373771
-0.10548415177428441,-0.15870570107858245,-0.09188224799286353
-0.09831532592554662,-0.14791987673343604,-0.08563782337198929
-0.09114650007680881,-0.13713405238828963,-0.07939339875111505
-0.08397767422807109,-0.1263482280431433,-0.07314897413024088
-0.0768088483793333,-0.1155624036979969,-0.06690454950936664
-0.0696400225305955,-0.1047765793528505,-0.0606601248884924
-0.06247119668185777,-0.09399075500770418,-0.05441570026761822
-0.05530237083311997,-0.08320493066255777,-0.048171275646743984
-0.04813354498438218,-0.07241910631741136,-0.041926851025869745
-0.04096471913564445,-0.06163328197226506,-0.03568242640499556
-0.03379589328690665,-0.05084745762711865,-0.029438001784121325
-0.02662706743816886,-0.040061633281972236,-0.023193577163247086
-0.01945824158943113,-0.029275808936825926,-0.016949152542372906
-0.012289415740693335,-0.018489984591679515,-0.01070472792149867
-0.00512058989195554,-0.007704160246533107,-0.00446030330062443
0.002048235956782189,0.0030816640986132023,0.0017841213202497489
0.009217061805519917,0.01386748844375951,0.008028545941123929
0.01638588765425778,0.024653312788906024,0.014272970561998225
0.023554713502995508,0.035439137134052334,0.020517395182872405
0.030723539351733237,0.04622496147919864,0.026761819803746586
0.0378923652004711,0.05701078582434515,0.033006244424620884
0.04506119104920883,0.06779661016949146,0.03925066904549506
0.052230016897946555,0.07858243451463777,0.04549509366636924
0.05939884274668442,0.08936825885978428,0.05173951828724354
0.06656766859542228,0.10015408320493079,0.057983942908117835
0.07373649444415988,0.1109399075500769,0.0642283675289919
0.08090532029289774,0.12172573189522341,0.0704727921498662
0.0880741461416356,0.13251155624036992,0.07671721677074049
0.0952429719903732,0.14329738058551603,0.08296164139161455
0.10241179783911106,0.15408320493066255,0.08920606601248884
0.10958062368784892,0.16486902927580904,0.09545049063336315
0.11674944953658652,0.17565485362095515,0.10169491525423721
0.12391827538532438,0.18644067796610167,0.1079393398751115
0.13108710123406225,0.1972265023112482,0.1141837644959858
0.13825592708279982,0.2080123266563943,0.12042818911685986
0.1454247529315377,0.2187981510015408,0.12667261373773417
0.15259357878027557,0.2295839753466873,0.13291703835860846
0.15976240462901314,0.24036979969183342,0.1391614629794825
0.16693123047775102,0.25115562403697994,0.14540588760035683
0.1741000563264889,0.26194144838212646,0.15165031222123113
0.1812688821752266,0.27272727272727276,0.15789473684210528
