% Model,one_golden_water.mph
% Version,COMSOL 6.0.0.318
% Date,"Aug 16 2023, 10:31"
% Table,Table 3 - Global Evaluation 1
% f (Hz),Fx1 (N),Fy1 (N),Fz1 (N),ecs (m^2),scs (m^2)
100,-1.0500716653172574E-8,-4.282240485352829E-9,4.964798515852722E-8,31.80833239363514,31.954912194173623
120.45454545454545,-2.5997469101175013E-9,-6.834462362835143E-9,-3.433420487056726E-8,44.771100714240845,45.01886856458037
140.9090909090909,1.1803236602980159E-8,-6.693552346380491E-9,-3.348320337916812E-9,29.67009235617633,29.859574396663252
161.36363636363637,-1.0489045766340383E-8,4.899990019807568E-9,7.711403100312816E-9,31.971455480712002,32.1656049289152
181.8181818181818,-6.635416787042059E-10,-2.2807818944850047E-9,1.6248184435454382E-9,22.71080628865952,22.82004098646248
202.27272727272725,1.0257803378881575E-9,-1.3467561052484573E-9,2.855719808473486E-9,15.975882251615893,16.061235837974415
222.72727272727272,-1.619196489600314E-9,-2.1099672600642712E-10,1.2461107655862712E-9,12.358583803977083,12.430791323716324
243.1818181818182,-5.086222143814727E-10,-7.753390375554586E-10,1.1614342335527544E-9,13.169667123518146,13.250782001751615
263.6363636363636,-4.5384103145463267E-10,-1.1021380352505901E-9,1.1483033508501683E-9,13.10463306612109,13.18313369785761
284.09090909090907,-9.597287712630697E-11,-4.2715361797314313E-10,1.1280422848291505E-9,13.955035147035685,14.040000619534455
304.5454545454545,-5.121511984137647E-10,-4.1834556427354104E-10,1.0258831906686255E-9,13.541249743735069,13.625922679253245
325,-6.705515320119099E-10,-4.4347360380156703E-10,7.094409318925923E-10,12.483640971358124,12.559401976571246
345.45454545454544,-2.2293350731147317E-10,-3.8994597060709765E-10,3.312542868803194E-10,11.373781624430434,11.440067564083522
365.9090909090909,-1.7168920252279334E-10,-1.9897338991707214E-10,2.732661875842692E-10,10.544112814586077,10.603691532097395
386.3636363636364,-1.5225521820741437E-10,-1.2309941355862935E-10,1.8167108391352321E-10,9.698696280219343,9.754231672121062
406.8181818181818,-4.244994046667166E-11,-3.5074244798145806E-11,9.493416738467469E-11,9.162706255233145,9.213654983690528
427.27272727272725,8.26342535658359E-12,1.2175223144768283E-12,1.3999772759204824E-11,8.622246378549727,8.669482230342256
447.7272727272727,4.1202051291005654E-11,3.698851292684958E-11,-4.396872928907128E-11,8.203479320284087,8.25372886102951
468.18181818181813,7.372662190755682E-11,5.798884774592577E-11,-8.940150608566825E-11,7.801230102608294,7.846885368724865
488.6363636363636,9.175531474848117E-11,1.030463488406092E-10,-1.3949143983983096E-10,7.483264629110876,7.5281273530858055
509.09090909090907,1.2466901716362526E-10,1.2826349756079467E-10,-1.7748033231782999E-10,7.148783682464473,7.189907167331174
529.5454545454545,1.5161437032155E-10,1.53480717586349E-10,-2.1439747911660988E-10,6.889471319630717,6.930907421382912
550,1.7318514352820243E-10,1.7437763946789798E-10,-2.45838861113963E-10,6.642322479556433,6.677640484034366
570.4545454545455,1.9090418094403594E-10,1.8955321633716986E-10,-2.704069494624111E-10,6.386662111525871,6.422662754519671
590.9090909090909,2.080098559161449E-10,2.0862952449548963E-10,-2.935334835768062E-10,6.180532122339433,6.214947462689275
611.3636363636363,2.229698485160824E-10,2.2348894411089367E-10,-3.156044432083823E-10,5.968060949691073,6.003208894501324
631.8181818181818,2.363191525138727E-10,2.3733218208029435E-10,-3.3505854319420383E-10,5.7720491438748125,5.805571741076652
652.2727272727273,2.4961696308662044E-10,2.5037169220651816E-10,-3.536692626774642E-10,5.596157174367412,5.627516598544947
672.7272727272727,2.614052664314452E-10,2.6074333072467145E-10,-3.6951179908119135E-10,5.423904505834509,5.4553596678299
693.1818181818181,2.7207162658561365E-10,2.722836829936465E-10,-3.8465054135809557E-10,5.265389895489863,5.29762151357901
713.6363636363636,2.8247490929696504E-10,2.8213397344474635E-10,-3.990624003818011E-10,5.119035983088755,5.1468059984805805
734.090909090909,2.906718504334445E-10,2.9109893623813404E-10,-4.109679730199685E-10,4.975624767765602,5.003010726792359
754.5454545454545,2.9856261069601127E-10,2.991909462549505E-10,-4.2202614979895065E-10,4.840899214423936,4.866665177503663
775,3.0592760835563127E-10,3.0623097119243024E-10,-4.3303634565991905E-10,4.713862274793419,4.740703083278146
795.4545454545454,3.129325351009885E-10,3.129208713553964E-10,-4.422968173329912E-10,4.591239792235523,4.61807639430949
815.9090909090909,3.19495624405677E-10,3.197389890718268E-10,-4.516821065688148E-10,4.477108791499073,4.503851683861075
836.3636363636363,3.2528490667575963E-10,3.254738436175641E-10,-4.604351132659009E-10,4.368528498732455,4.394049462906018
856.8181818181818,3.3075213643653765E-10,3.3094453656650046E-10,-4.676597717787502E-10,4.263737029990642,4.288450233874932
877.2727272727273,3.3617020623863066E-10,3.361094196543324E-10,-4.754570151631673E-10,4.166389787243591,4.190603311861386
897.7272727272726,3.4102422315120106E-10,3.409625816997736E-10,-4.819559385824519E-10,4.07164548891331,4.095832451727097
918.1818181818181,3.453175716821452E-10,3.4549738705593826E-10,-4.884978125440427E-10,3.9817817418058974,4.004451788476998
938.6363636363636,3.4952028552276163E-10,3.495754051893052E-10,-4.941938185775338E-10,3.8933882648945173,3.9166788004799464
959.090909090909,3.5359450707251527E-10,3.536271757975077E-10,-4.99744936328446E-10,3.8120692650670924,3.833413551759162
