ord,ecs,f1x,f1y,f1z
3.0,0.005856277829772219,0.0,0.0,0.0
4.0,0.0157092214276996,0.0,0.0,0.0
5.0,0.0157092214276996,0.0,0.0,0.0
6.0,0.03206204334551247,0.0,0.0,0.0
7.0,0.03206204334551247,0.0,0.0,0.0
8.0,0.05672357947652557,0.0,0.0,0.0
9.0,0.05672357947652557,0.0,0.0,0.0
10.0,0.09103498645939989,0.0,0.0,0.0
11.0,0.09103498645939989,0.0,0.0,0.0
12.0,0.1350395082087438,0.0,0.0,0.0
13.0,0.1350395082087438,0.0,0.0,0.0
14.0,0.18684430052572296,0.0,0.0,0.0
15.0,0.18684430052572296,0.0,0.0,0.0
16.0,0.24102778802312427,0.0,0.0,0.0
