ord,ecs,f1x,f1y,f1z
3.0,1.8054210110541786,0.0,0.0,0.0
4.0,4.463388309589486,0.0,0.0,0.0
5.0,4.463388309589486,0.0,0.0,0.0
6.0,4.521488823604715,0.0,0.0,0.0
7.0,4.521488823604715,0.0,0.0,0.0
8.0,4.522389541551538,0.0,0.0,0.0
9.0,4.522389541551538,0.0,0.0,0.0
10.0,4.522389789731952,0.0,0.0,0.0
11.0,4.522389789731952,0.0,0.0,0.0
12.0,4.522389789741094,0.0,0.0,0.0
13.0,4.522389789741094,0.0,0.0,0.0
14.0,4.522389789741094,0.0,0.0,0.0
15.0,4.522389789741094,0.0,0.0,0.0
16.0,4.522389789741094,0.0,0.0,0.0
