ord,ecs,f1x,f1y,f1z
3.0,0.00253672689086856,0.0,0.0,0.0
4.0,0.006696045831175603,0.0,0.0,0.0
5.0,0.006696045831175603,0.0,0.0,0.0
6.0,0.013434420136112266,0.0,0.0,0.0
7.0,0.013434420136112266,0.0,0.0,0.0
8.0,0.02346364089380893,0.0,0.0,0.0
9.0,0.02346364089380893,0.0,0.0,0.0
10.0,0.03749371386796327,0.0,0.0,0.0
11.0,0.03749371386796327,0.0,0.0,0.0
12.0,0.05591808552820434,0.0,0.0,0.0
13.0,0.05591808552820434,0.0,0.0,0.0
14.0,0.0783497283578833,0.0,0.0,0.0
15.0,0.0783497283578833,0.0,0.0,0.0
16.0,0.10312733155522712,0.0,0.0,0.0
