ord,ecs,f1x,f1y,f1z
3.0,0.0620951362582419,0.0,0.0,0.0
4.0,0.08488624050617266,0.0,0.0,0.0
5.0,0.08488624050617266,0.0,0.0,0.0
6.0,0.09936672116486248,0.0,0.0,0.0
7.0,0.09936672116486248,0.0,0.0,0.0
8.0,0.39726945667518215,0.0,0.0,0.0
9.0,0.39726945667518215,0.0,0.0,0.0
10.0,1.0336119341124546,0.0,0.0,0.0
11.0,1.0336119341124546,0.0,0.0,0.0
12.0,1.148821536601324,0.0,0.0,0.0
13.0,1.148821536601324,0.0,0.0,0.0
14.0,1.6503068472032567,0.0,0.0,0.0
15.0,1.6503068472032567,0.0,0.0,0.0
16.0,2.2181208040855567,0.0,0.0,0.0
