ord,ecs,f1x,f1y,f1z
3.0,0.0027834955709686742,0.0,0.0,0.0
4.0,0.019133043583850564,0.0,0.0,0.0
5.0,0.019133043583850564,0.0,0.0,0.0
6.0,0.08408655227636753,0.0,0.0,0.0
7.0,0.08408655227636753,0.0,0.0,0.0
8.0,0.24976357103521243,0.0,0.0,0.0
9.0,0.24976357103521243,0.0,0.0,0.0
10.0,0.5069341947419338,0.0,0.0,0.0
11.0,0.5069341947419338,0.0,0.0,0.0
12.0,0.6910796336725211,0.0,0.0,0.0
13.0,0.6910796336725211,0.0,0.0,0.0
14.0,0.6973410378637458,0.0,0.0,0.0
15.0,0.6973410378637458,0.0,0.0,0.0
16.0,0.8817304041631424,0.0,0.0,0.0
