ord,ecs,f1x,f1y,f1z
3.0,0.7664773730767754,0.0,0.0,0.0
4.0,1.2182477138140884,0.0,0.0,0.0
5.0,1.2182477138140884,0.0,0.0,0.0
6.0,1.2186258232429177,0.0,0.0,0.0
7.0,1.2186258232429177,0.0,0.0,0.0
8.0,1.2186258241400514,0.0,0.0,0.0
9.0,1.2186258241400514,0.0,0.0,0.0
10.0,1.2186258241400687,0.0,0.0,0.0
11.0,1.2186258241400687,0.0,0.0,0.0
12.0,1.2186258241400687,0.0,0.0,0.0
13.0,1.2186258241400687,0.0,0.0,0.0
14.0,1.2186258241400687,0.0,0.0,0.0
15.0,1.2186258241400687,0.0,0.0,0.0
16.0,1.2186258241400687,0.0,0.0,0.0
