ord,ecs,f1x,f1y,f1z
3.0,1.0322152620845038,0.0,0.0,0.0
4.0,2.7310297083440846,0.0,0.0,0.0
5.0,2.7310297083440846,0.0,0.0,0.0
6.0,5.175410637895629,0.0,0.0,0.0
7.0,5.175410637895629,0.0,0.0,0.0
8.0,5.199438538794078,0.0,0.0,0.0
9.0,5.199438538794078,0.0,0.0,0.0
10.0,5.244409104849562,0.0,0.0,0.0
11.0,5.244409104849562,0.0,0.0,0.0
12.0,5.244742591435359,0.0,0.0,0.0
13.0,5.244742591435359,0.0,0.0,0.0
14.0,5.24474282992677,0.0,0.0,0.0
15.0,5.24474282992677,0.0,0.0,0.0
16.0,5.244742829965079,0.0,0.0,0.0
