ord,ecs,f1x,f1y,f1z
3.0,9.064059438816717e-07,0.0,0.0,0.0
4.0,8.993234515311201e-06,0.0,0.0,0.0
5.0,8.993234515311201e-06,0.0,0.0,0.0
6.0,5.017806632913591e-05,0.0,0.0,0.0
7.0,5.017806632913591e-05,0.0,0.0,0.0
8.0,0.0001939009585110495,0.0,0.0,0.0
9.0,0.0001939009585110495,0.0,0.0,0.0
10.0,0.0005854454195229818,0.0,0.0,0.0
11.0,0.0005854454195229818,0.0,0.0,0.0
12.0,0.0014811025370037644,0.0,0.0,0.0
13.0,0.0014811025370037644,0.0,0.0,0.0
14.0,0.003275682558574362,0.0,0.0,0.0
15.0,0.003275682558574362,0.0,0.0,0.0
16.0,0.006505326890999834,0.0,0.0,0.0
