ord,ecs,f1x,f1y,f1z
3.0,0.01581004932616046,0.0,0.0,0.0
4.0,0.026882153499660305,0.0,0.0,0.0
5.0,0.026882153499660305,0.0,0.0,0.0
6.0,0.1317589317974903,0.0,0.0,0.0
7.0,0.1317589317974903,0.0,0.0,0.0
8.0,0.2156765371558752,0.0,0.0,0.0
9.0,0.2156765371558752,0.0,0.0,0.0
10.0,1.841319012161362,0.0,0.0,0.0
11.0,1.841319012161362,0.0,0.0,0.0
12.0,1.967298486073131,0.0,0.0,0.0
13.0,1.967298486073131,0.0,0.0,0.0
14.0,2.1519216420499023,0.0,0.0,0.0
15.0,2.1519216420499023,0.0,0.0,0.0
16.0,2.178632572509116,0.0,0.0,0.0
