ld,cs,t0
(8+0j),(0.6072025156296617+0j),(-0.006208801857037357-0.07855095566915406j)
(8.009076305220884+0j),(0.612947088701892+0j),(-0.006253344229468625-0.07883045043266211j)
(8.018152610441767+0j),(0.6188002195502561+0j),(-0.00629877413301505-0.07911447135282085j)
(8.02722891566265+0j),(0.6247646459719642+0j),(-0.006345113013355938-0.07940310166614198j)
(8.036305220883534+0j),(0.6308431941849523+0j),(-0.006392383004900576-0.07969642679831535j)
(8.045381526104418+0j),(0.6370387822932393+0j),(-0.006440606957512475-0.07999453443536825j)
(8.054457831325301+0j),(0.6433544239122733+0j),(-0.006489808464460036-0.0802975145976179j)
(8.063534136546185+0j),(0.6497932319627171+0j),(-0.006540011891658057-0.0806054597165417j)
(8.072610441767068+0j),(0.6563584226417337+0j),(-0.006591242408269189-0.08091846471470293j)
(8.081686746987952+0j),(0.6630533195813408+0j),(-0.006643526018738358-0.08123662708887355j)
(8.090763052208835+0j),(0.6698813582039583+0j),(-0.00669688959633719-0.0815600469965023j)
(8.099839357429719+0j),(0.676846090285946+0j),(-0.006751360918300843-0.08188882734568668j)
(8.108915662650602+0j),(0.6839511887405703+0j),(-0.006806968702644346-0.08222307388881522j)
(8.117991967871486+0j),(0.6912004526325422+0j),(-0.006863742646750917-0.08256289532005336j)
(8.12706827309237+0j),(0.6985978124370773+0j),(-0.006921713467830918-0.08290840337686022j)
(8.136144578313253+0j),(0.7061473355571805+0j),(-0.006980912945355771-0.08325971294572866j)
(8.145220883534137+0j),(0.7138532321137829+0j),(-0.007041373965578138-0.08361694217235535j)
(8.15429718875502+0j),(0.7217198610242843+0j),(-0.00710313056825679-0.08398021257645806j)
(8.163373493975904+0j),(0.7297517363860468+0j),(-0.007166217995712012-0.08434964917146925j)
(8.172449799196787+0j),(0.7379535341824569+0j),(-0.007230672744345543-0.08472538058934714j)
(8.18152610441767+0j),(0.7463300993303662+0j),(-0.00729653261876814-0.085107539210762j)
(8.190602409638554+0j),(0.754886453088934+0j),(-0.007363836788686993-0.08549626130092808j)
(8.199678714859438+0j),(0.7636278008511752+0j),(-0.007432625848714874-0.0858916871513646j)
(8.208755020080321+0j),(0.7725595403410899+0j),(-0.007502941881274988-0.08629396122789355j)
(8.217831325301205+0j),(0.7816872702406169+0j),(-0.0075748285227855644-0.0867032323251905j)
(8.226907630522089+0j),(0.7910167992724427+0j),(-0.007648331033322089-0.08711965372823065j)
(8.235983935742972+0j),(0.8005541557663846+0j),(-0.007723496369967546-0.087543383380988j)
(8.245060240963856+0j),(0.810305597739077+0j),(-0.007800373264076478-0.08797458406277098j)
(8.25413654618474+0j),(0.8202776235186211+0j),(-0.007879012302693111-0.08841342357259516j)
(8.263212851405623+0j),(0.8304769829482572+0j),(-0.007959466014382154-0.08886007492202586j)
(8.272289156626506+0j),(0.840910689205331+0j),(-0.008041788959747304-0.08931471653694138j)
(8.28136546184739+0j),(0.8515860312745765+0j),(-0.008126037826933568-0.08977753246870183j)
(8.290441767068273+0j),(0.8625105871174398+0j),(-0.008212271532429828-0.09024871261523608j)
(8.299518072289157+0j),(0.8736922375821915+0j),(-0.008300551327510843-0.09072845295258924j)
(8.30859437751004+0j),(0.8851391811029264+0j),(-0.008390940910683377-0.0912169557775132j)
(8.317670682730924+0j),(0.8968599492389322+0j),(-0.008483506546526486-0.09171442996171066j)
(8.326746987951807+0j),(0.9088634231098925+0j),(-0.008578317191346304-0.09222109121839188j)
(8.335823293172691+0j),(0.9211588507864323+0j),(-0.008675444626095999-0.09273716238183882j)
(8.344899598393575+0j),(0.9337558656999777+0j),(-0.008774963597045373-0.09326287370071706j)
(8.353975903614458+0j),(0.946664506140897+0j),(-0.008876951964722275-0.09379846314592946j)
(8.363052208835342+0j),(0.9598952359189906+0j),(-0.0089814908616864-0.09434417673384957j)
(8.372128514056225+0j),(0.9734589662662969+0j),(-0.009088664859740673-0.09490026886583615j)
(8.381204819277109+0j),(0.9873670790682861+0j),(-0.00919856214723138-0.09546700268498483j)
(8.390281124497992+0j),(1.0016314515163522+0j),(-0.009311274717139743-0.09604465045114018j)
(8.399357429718876+0j),(1.0162644822818543+0j),(-0.00942689856672307-0.09663349393525926j)
(8.40843373493976+0j),(1.0312791193199944+0j),(-0.00954553390952412-0.0972338248342944j)
(8.417510040160643+0j),(1.046688889420545+0j),(-0.009667285400633031-0.09784594520784057j)
(8.426586345381526+0j),(1.062507929631959+0j),(-0.009792262376158014-0.09847016793788103j)
(8.43566265060241+0j),(1.0787510206958566+0j),(-0.009920579107939614-0.09910681721305921j)
(8.444738955823293+0j),(1.09543362264017+0j),(-0.010052355074628564-0.09975622903900364j)
(8.453815261044177+0j),(1.1125719126916267+0j),(-0.01018771525034028-0.10041875177634038j)
(8.46289156626506+0j),(1.130182825681934+0j),(-0.010326790412202429-0.10109474670814934j)
(8.471967871485944+0j),(1.14828409713678+0j),(-0.010469717468222672-0.10178458863874365j)
(8.481044176706828+0j),(1.166894309253102+0j),(-0.010616639807026738-0.10248866652579004j)
(8.490120481927711+0j),(1.1860329399878102+0j),(-0.010767707671150283-0.10320738414793262j)
(8.499196787148595+0j),(1.205720415501009+0j),(-0.01092307855571751-0.10394116081025426j)
(8.508273092369478+0j),(1.2259781662179063+0j),(-0.01108291763449819-0.1046904320900679j)
(8.517349397590362+0j),(1.2468286867975098+0j),(-0.011247398215514678-0.10545565062573137j)
(8.526425702811245+0j),(1.2682956003221268+0j),(-0.011416702228565112-0.10623728695137781j)
(8.535502008032129+0j),(1.290403727050337+0j),(-0.011591020747244316-0.10703583038067797j)
(8.544578313253012+0j),(1.3131791581076055+0j),(-0.011770554548280469-0.10785178994298807j)
(8.553654618473896+0j),(1.3366493345237263+0j),(-0.01195551471126855-0.10868569537550554j)
(8.56273092369478+0j),(1.3608431320644598+0j),(-0.012146123262168147-0.10953809817533061j)
(8.571807228915663+0j),(1.3857909523475158+0j),(-0.012342613864254344-0.11040957271564933j)
(8.580883534136547+0j),(1.4115248207798925+0j),(-0.01254523256056209-0.11130071743058759j)
(8.58995983935743+0j),(1.4380784919057044+0j),(-0.01275423857225514-0.11221215607364979j)
(8.599036144578314+0j),(1.465487562811463+0j),(-0.012969905157784787-0.11314453905506379j)
(8.608112449799197+0j),(1.4937895952997708+0j),(-0.013192520538183062-0.1140985448637829j)
(8.61718875502008+0j),(1.5230242476136322+0j),(-0.013422388894369239-0.11507488158037595j)
(8.626265060240964+0j),(1.5532334165729178+0j),(-0.013659831442943119-0.11607428848756086j)
(8.635341365461848+0j),(1.5844613910723933+0j),(-0.013905187597596564-0.11709753778569476j)
(8.644417670682731+0j),(1.616755017989526+0j),(-0.014158816224015278-0.11814543642117473j)
(8.653493975903615+0j),(1.6501638816594193+0j),(-0.014421096996959438-0.1192188280363623j)
(8.662570281124498+0j),(1.6847404981974388+0j),(-0.014692431869134971-0.12031859505041521j)
(8.671646586345382+0j),(1.7205405260865634+0j),(-0.014973246662487586-0.1214456608812019j)
(8.680722891566266+0j),(1.7576229946009736+0j),(-0.01526399279370888-0.1226009923194037j)
(8.689799196787149+0j),(1.7960505518085341+0j),(-0.015565149147022474-0.12378560206685355j)
(8.698875502008033+0j),(1.835889734089385+0j),(-0.015877224108774544-0.12500055145228076j)
(8.707951807228916+0j),(1.8772112593246628+0j),(-0.01620075777997302-0.12624695333879415j)
(8.7170281124498+0j),(1.920090346154358+0j),(-0.016536324384751302-0.12752597523874726j)
(8.726104417670683+0j),(1.9646070619796512+0j),(-0.016884534894797007-0.12883884265307333j)
(8.735180722891567+0j),(2.0108467026963304+0j),(-0.0172460398921114-0.13018684265374555j)
(8.74425702811245+0j),(2.05890020749865+0j),(-0.017621532695099727-0.13157132772977273j)
(8.753333333333334+0j),(2.108864612491769+0j),(-0.01801175277596989-0.13299371991905193j)
(8.762409638554217+0j),(2.1608435473031546+0j),(-0.01841748950079219-0.13445551525051103j)
(8.771485943775101+0j),(2.214947779397474+0j),(-0.018839586227409704-0.1359582885233177j)
(8.780562248995984+0j),(2.271295811383364+0j),(-0.0192789448007438-0.13750369845249136j)
(8.789638554216868+0j),(2.3300145372664516+0j),(-0.019736530490006118-0.13909349321310172j)
(8.798714859437752+0j),(2.3912399643624322+0j),(-0.020213377417989894-0.14072951641836828j)
(8.807791164658635+0j),(2.455118008452196+0j),(-0.020710594539084373-0.14241371357043542j)
(8.816867469879519+0j),(2.5218053707547132+0j),(-0.021229372230059544-0.14414813902640963j)
(8.825943775100402+0j),(2.5914705064337302+0j),(-0.02177098956616275-0.14593496352647226j)
(8.835020080321286+0j),(2.6642946956633002+0j),(-0.022336822364815184-0.14777648233551197j)
(8.84409638554217+0j),(2.7404732297852763+0j),(-0.02292835209042239-0.14967512405486763j)
(8.853172690763053+0j),(2.820216726829653+0j),(-0.02354717572674465-0.1516334601664107j)
(8.862248995983936+0j),(2.9037525926773378+0j),(-0.024195016738215284-0.15365421537742713j)
(8.87132530120482+0j),(2.991326646469048+0j),(-0.024873737258879102-0.15574027884158728j)
(8.880401606425703+0j),(3.0832049315616255+0j),(-0.025585351667676958-0.1578947163388258j)
(8.889477911646587+0j),(3.1796757364660295+0j),(-0.02633204173208544-0.16012078350515638j)
(8.89855421686747+0j),(3.2810518538520728+0j),(-0.02711617352924277-0.16242194021244408j)
(8.907630522088354+0j),(3.3876731099655597+0j),(-0.027940316385332457-0.16480186620794066j)
(8.916706827309238+0j),(3.4999092017860187+0j),(-0.02880726411098536-0.16726447813395792j)
(8.925783132530121+0j),(3.6181628850969205+0j),(-0.029720058853826933-0.16981394805949243j)
(8.934859437751005+0j),(3.7428735635033386+0j),(-0.03068201794020746-0.17245472366776227j)
(8.943935742971888+0j),(3.87452133651756+0j),(-0.03169676413811072-0.17519155025652264j)
(8.953012048192772+0j),(4.013631574376845+0j),(-0.03276825984397759-0.17802949472145102j)
(8.962088353413655+0j),(4.160780098551464+0j),(-0.0339008457798628-0.18097397170663176j)
(8.971164658634539+0j),(4.316599060299423+0j),(-0.035099284886574274-0.18403077211984242j)
(8.980240963855422+0j),(4.481783625559065+0j),(-0.03636881221641214-0.18720609422339723j)
(8.989317269076306+0j),(4.657099593467215+0j),(-0.037715191769694234-0.19050657752284939j)
(8.99839357429719+0j),(4.843392098504533+0j),(-0.03914478138725906-0.19393933968486834j)
(9.007469879518073+0j),(5.041595573487912+0j),(-0.04066460701235742-0.19751201672021867j)
(9.016546184738957+0j),(5.252745183340875+0j),(-0.04228244787705548-0.20123280666576107j)
(9.02562248995984+0j),(5.4779899789910536+0j),(-0.04400693445939313-0.20511051698750069j)
(9.034698795180724+0j),(5.71860806836332+0j),(-0.04584766140904239-0.20915461590020956j)
(9.043775100401607+0j),(5.976024159129922+0j),(-0.047815318064828145-0.2133752877518563j)
(9.05285140562249+0j),(6.251829897953956+0j),(-0.04992183970413015-0.2177834925440523j)
(9.061927710843374+0j),(6.547807516307112+0j),(-0.05218058329302578-0.2223910295408189j)
(9.071004016064258+0j),(6.8659573971472305+0j),(-0.05460653227332951-0.22721060474020868j)
(9.080080321285141+0j),(7.208530304291712+0j),(-0.05721653586121104-0.23225590172319366j)
(9.089156626506025+0j),(7.578065172808601+0j),(-0.060029589482627516-0.23754165501901925j)
