ld,cs,t0
(8.626265060240964+0j),(3.13205127970334+0j),(-0.02596348759171244-0.1590263654360101j)
(8.635341365461848+0j),(3.2340402762585327+0j),(-0.02675261047290126-0.16135956217648356j)
(8.644417670682731+0j),(3.3414253042276076+0j),(-0.027582906991075525-0.16377451032745358j)
(8.653493975903615+0j),(3.454595516663988+0j),(-0.02845731861926804-0.16627537290972919j)
(8.662570281124498+0j),(3.5739756931259468+0j),(-0.0293790545049125-0.16886659131192852j)
(8.671646586345382+0j),(3.700030201794798+0j),(-0.030351621106756762-0.17155290788252073j)
(8.680722891566266+0j),(3.8332674810588103+0j),(-0.03137885570365158-0.17433939061032935j)
(8.689799196787149+0j),(3.9742451190925405+0j),(-0.03246496435876556-0.17723146009653487j)
(8.698875502008033+0j),(4.123575623415856+0j),(-0.033614565022483306-0.18023491903854966j)
(8.707951807228916+0j),(4.2819329884445665+0j),(-0.034832736575965646-0.18335598446354306j)
(8.7170281124498+0j),(4.450060188186933+0j),(-0.036125074759081284-0.18660132296618925j)
(8.726104417670683+0j),(4.628777744173642+0j),(-0.03749775609614434-0.18997808922056883j)
(8.735180722891567+0j),(4.81899354624411+0j),(-0.038957611136576-0.19349396804837957j)
(8.74425702811245+0j),(5.021714136981445+0j),(-0.04051220857285375-0.19715722033291944j)
(8.753333333333334+0j),(5.238057710642432+0j),(-0.04216995209410754-0.2009767330675076j)
(8.762409638554217+0j),(5.469269125944221+0j),(-0.04394019219205734-0.20496207381411422j)
(8.771485943775101+0j),(5.716737290994326+0j),(-0.04583335557096839-0.2091235498170246j)
(8.780562248995984+0j),(5.982015350429659+0j),(-0.04786109534286326-0.21347227195925145j)
(8.789638554216868+0j),(6.266844192503875+0j),(-0.05003646583566147-0.21802022365445406j)
(8.798714859437752+0j),(6.573179901267595+0j),(-0.0523741266333238-0.22278033461847652j)
(8.807791164658635+0j),(6.9032259109018055+0j),(-0.05489058143841763-0.22776655923943287j)
(8.816867469879519+0j),(7.259470781725867+0j),(-0.057604458542893845-0.23299395893214453j)
(8.825943775100402+0j),(7.644732717968035+0j),(-0.06053684116744789-0.23847878737723213j)
(8.835020080321286+0j),(8.062212195548641+0j),(-0.06371165775277576-0.24423857684479108j)
(8.84409638554217+0j),(8.515554375784225+0j),(-0.06715614454389175-0.2502922227994543j)
(8.853172690763053+0j),(9.008923362916317+0j),(-0.07090139560916932-0.25666006255325624j)
(8.862248995983936+0j),(9.547090838119635+0j),(-0.0749830189122297-0.2633639416986272j)
(8.87132530120482+0j),(10.135542192781308+0j),(-0.07944192137053009-0.2704272591649899j)
(8.880401606425703+0j),(10.780604016765277+0j),(-0.08432525118632736-0.2778749776404672j)
(8.889477911646587+0j),(11.489597705456028+0j),(-0.08968753235477173-0.2857335802716991j)
(8.89855421686747+0j),(12.271025069423228+0j),(-0.09559203440061688-0.29403094626206977j)
(8.907630522088354+0j),(13.134793201594405+0j),(-0.10211243034112373-0.30279610616874336j)
(8.916706827309238+0j),(14.092487514605077+0j),(-0.10933480785808625-0.3120588208154379j)
(8.925783132530121+0j),(15.157703826433426+0j),(-0.11736011280609997-0.32184890356849044j)
(8.934859437751005+0j),(16.3464526283573+0j),(-0.12630712030967312-0.33219517104971713j)
(8.943935742971888+0j),(17.677651116641826+0j),(-0.13631604600321875-0.34312385752854185j)
(8.953012048192772+0j),(19.173720945441158+0j),(-0.14755292639814055-0.3546562565491908j)
(8.962088353413655+0j),(20.861311387810204+0j),(-0.16021490851735834-0.36680525024341293j)
(8.971164658634539+0j),(22.772167518583124+0j),(-0.174536586065584-0.37957023880983476j)
(8.980240963855422+0j),(24.94415894490691+0j),(-0.19079748586417-0.39292977139952356j)
(8.989317269076306+0j),(27.422472406355233+0j),(-0.20933071338597892-0.40683088110331067j)
(8.99839357429719+0j),(30.26094382932073+0j),(-0.23053255471117584-0.42117371229638084j)
(9.007469879518073+0j),(33.52344903852165+0j),(-0.25487240676436906-0.4357894710000543j)
(9.016546184738957+0j),(37.28516473099905+0j),(-0.2829016013540839-0.45040902000890126j)
(9.02562248995984+0j),(41.63331502806719+0j),(-0.315258225227929-0.4646186357154277j)
(9.034698795180724+0j),(46.666675146127844+0j),(-0.3526624870519083-0.47779876232392116j)
(9.043775100401607+0j),(52.4925291949074+0j),(-0.39589293684291293-0.4890416336067987j)
(9.05285140562249+0j),(59.21888001655836+0j),(-0.44572723206363696-0.4970457390024842j)
(9.061927710843374+0j),(66.93844851899298+0j),(-0.5028219386351612-0.4999920365989236j)
(9.071004016064258+0j),(75.6995980273192+0j),(-0.5674957555137574-0.49542337751425003j)
(9.080080321285141+0j),(85.4587077068829+0j),(-0.6393765493109601-0.48018140062081693j)
(9.089156626506025+0j),(96.0111028596622+0j),(-0.7168925156787113-0.45050819819683613j)
(9.098232931726908+0j),(106.90784344211342+0j),(-0.7966640668385212-0.40248034914369357j)
(9.107309236947792+0j),(117.38800288099986+0j),(-0.8730182255670328-0.33295255426985726j)
(9.116385542168675+0j),(126.38668343812455+0j),(-0.9380710057724865-0.24102654190250897j)
(9.125461847389559+0j),(132.6910607273217+0j),(-0.9829054002743024-0.1296239730370734j)
(9.134538152610443+0j),(135.26228953663585+0j),(-0.9999615680410001-0.006199232370595382j)
(9.143614457831326+0j),(133.60926796905255+0j),(-0.9857812103318013+0.11839178894066126j)
(9.15269076305221+0j),(127.99552380356796+0j),(-0.9424904667548388+0.23281363111099176j)
(9.161767068273093+0j),(119.33306791008545+0j),(-0.8769646283678537+0.3284778058857036j)
(9.170843373493977+0j),(108.83767878366262+0j),(-0.7982528559142611+0.4013044155488287j)
(9.17991967871486+0j),(97.66458810534039+0j),(-0.714889836764579+0.4514668958575952j)
(9.188995983935744+0j),(86.689691007795+0j),(-0.6333023422790672+0.48190298353809174j)
(9.198072289156627+0j),(76.4589620674683+0j),(-0.557461044272811+0.496687254105718j)
(9.20714859437751+0j),(67.24144864935512+0j),(-0.48929020235278625+0.49988528707530067j)
(9.216224899598394+0j),(59.11521774544992+0j),(-0.42931190134501024+0.4949779719427346j)
(9.225301204819278+0j),(52.04524596689289+0j),(-0.3772243498138363+0.48469179869414414j)
(9.234377510040161+0j),(45.93960807441091+0j),(-0.3323164184625122+0.4710437521958663j)
(9.243453815261045+0j),(40.684758991053094+0j),(-0.29372638422797637+0.4554681058387465j)
(9.252530120481929+0j),(36.165376640139435+0j),(-0.2605863962969852+0.4389545834843689j)
(9.261606425702812+0j),(32.27426318570775+0j),(-0.23209375542326463+0.42216850204247885j)
(9.270682730923696+0j),(28.91640802228551+0j),(-0.2075394539970972+0.40554510110674985j)
(9.27975903614458+0j),(26.009883370279844+0j),(-0.18631369079461488+0.38935960167575623j)
(9.288835341365463+0j),(23.485172445906016+0j),(-0.16790011257961587+0.3737775605562327j)
(9.297911646586346+0j),(21.28383100019627+0j),(-0.15186536371486903+0.358890338430306j)
(9.30698795180723+0j),(19.356960317660835+0j),(-0.13784741268487227+0.34473976199585504j)
(9.316064257028112+0j),(17.663727284617316+0j),(-0.1255443472113702+0.33133512354509165j)
(9.325140562248995+0j),(16.17003399625218+0j),(-0.11470435892235316+0.3186648222922718j)
(9.334216867469879+0j),(14.84736956841246+0j),(-0.10511713310410861+0.3067042898820976j)
(9.343293172690762+0j),(13.671842441207636+0j),(-0.09660661272983592+0.2954213518124637j)
(9.352369477911646+0j),(12.62337625821942+0j),(-0.08902499914284143+0.28477982490067394j)
(9.36144578313253+0j),(11.68504719424785+0j),(-0.08224781715596956+0.27474190384622393j)
(9.370522088353413+0j),(10.842540323620828+0j),(-0.07616987295858553+0.26526971823421247j)
(9.379598393574296+0j),(10.083704550578972+0j),(-0.07070194935087445+0.2563263226999148j)
(9.38867469879518+0j),(9.398188349070296+0j),(-0.0657681042574346+0.24787630124684734j)
(9.397751004016063+0j),(8.777141381638424+0j),(-0.061303460216578246+0.23988611044004332j)
(9.406827309236947+0j),(8.212969668429498+0j),(-0.05725239237706997+0.23232424743055125j)
(9.41590361445783+0j),(7.699134238900434+0j),(-0.05356703966880839+0.22516130202574489j)
(9.424979919678714+0j),(7.229985100646831+0j),(-0.050206078160073775+0.21836993354365053j)
(9.434056224899598+0j),(6.8006239271516575+0j),(-0.04713370739875867+0.21192480040242312j)
(9.443132530120481+0j),(6.406790142008208+0j),(-0.044318810102717446+0.20580246153483375j)
(9.452208835341365+0j),(6.044766107561591+0j),(-0.041734253276038503+0.1999812625710968j)
(9.461285140562248+0j),(5.711297954392816+0j),(-0.03935630501788067+0.19444121546940663j)
(9.470361445783132+0j),(5.403529252638445+0j),(-0.037164146248395244+0.1891638773181157j)
(9.479437751004015+0j),(5.11894525876776+0j),(-0.03513946054471422+0.18413223198924383j)
(9.488514056224899+0j),(4.855325898446565+0j),(-0.0332660884578519+0.1793305769147199j)
(9.497590361445782+0j),(4.610705988790238+0j),(-0.03152973522899751+0.17474441629244358j)
(9.506666666666666+0j),(4.383341478760463+0j),(-0.029917722869628967+0.17036036137530655j)
(9.51574297188755+0j),(4.17168070831247+0j),(-0.028418779216311564+0.16616603805882266j)
(9.524819277108433+0j),(3.9743398660178073+0j),(-0.02702285789927978+0.1621500016966855j)
(9.533895582329317+0j),(3.7900819698549304+0j),(-0.025720984238103758+0.15830165889189848j)
(9.5429718875502+0j),(3.6177988135201087+0j),(-0.024505122948996066+0.15461119590201305j)
(9.552048192771084+0j),(3.4564954163657697+0j),(-0.023368064256902334+0.15106951323740875j)
(9.561124497991967+0j),(3.3052765932335992+0j),(-0.022303325583548344+0.1476681660056174j)
(9.57020080321285+0j),(3.163335324428077+0j),(-0.021305066455488686+0.14439930955103594j)
(9.579277108433734+0j),(3.02994265860206+0j),(-0.020368014664210347+0.1412556499501838j)
(9.588353413654618+0j),(2.9044389245783657+0j),(-0.019487402029675215+0.13823039894252287j)
(9.597429718875501+0j),(2.786226063843235+0j),(-0.018658908382212853+0.13531723290178913j)
(9.606506024096385+0j),(2.6747609250288753+0j),(-0.01787861259585048+0.13251025548046452j)
(9.615582329317268+0j),(2.5695493862657983+0j),(-0.017142949687249515+0.12980396358844343j)
(9.624658634538152+0j),(2.47014119174572+0j),(-0.016448673145178005+0.12719321639514075j)
(9.633734939759035+0j),(2.3761254059230885+0j),(-0.01579282178129902+0.12467320707146001j)
(9.642811244979919+0j),(2.287126403090641+0j),(-0.015172690498385495+0.1222394370136974j)
(9.651887550200803+0j),(2.2028003220796823+0j),(-0.014585804460488903+0.11988769231547201j)
(9.660963855421686+0j),(2.1228319259488546+0j),(-0.014029896223978334+0.11761402227592904j)
(9.67004016064257+0j),(2.046931815060932+0j),(-0.013502885451126616+0.115414719752813j)
(9.679116465863453+0j),(1.9748339491686244+0j),(-0.013002860880996534+0.11328630318756978j)
(9.688192771084337+0j),(1.9062934402561114+0j),(-0.012528064277383512+0.11122550014652781j)
(9.69726907630522+0j),(1.8410845830890983+0j),(-0.012076876111805994+0.10922923223746508j)
(9.706345381526104+0j),(1.7789990948645504+0j),(-0.011647802772116215+0.1072946012747058j)
(9.715421686746987+0j),(1.7198445391399864+0j),(-0.011239465115108283+0.10541887657831754j)
(9.724497991967871+0j),(1.6634429124667431+0j),(-0.010850588205301293+0.10359948330421476j)
(9.733574297188754+0j),(1.6096293749337751+0j),(-0.010479992102476892+0.10183399171204532j)
(9.742650602409638+0j),(1.5582511082210209+0j),(-0.01012658357808883+0.10012010728682233j)
(9.751726907630522+0j),(1.509166286821906+0j),(-0.009789348655761176+0.09845566163841021j)
(9.760803212851405+0j),(1.4622431498725506+0j),(-0.009467345884116827+0.09683860411027888j)
(9.769879518072289+0j),(1.4173591625648674+0j),(-0.009159700261451504+0.09526699403556232j)
(9.778955823293172+0j),(1.374400257452188+0j),(-0.00886559774151593+0.09373899358432197j)
(9.788032128514056+0j),(1.3332601471141097+0j),(-0.0085842802581429+0.09225286115125406j)
(9.79710843373494+0j),(1.2938397006539037+0j),(-0.008315041213820075+0.09080694523786462j)
(9.806184738955823+0j),(1.2560463773780006+0j),(-0.00805722138371704+0.08939967878740289j)
(9.815261044176706+0j),(1.2197937117734237+0j),(-0.007810205192277482+0.08802957393474084j)
(9.82433734939759+0j),(1.18500084456768+0j),(-0.007573417324374082+0.08669521713684644j)
(9.833413654618473+0j),(1.1515920952420997+0j),(-0.007346319637308438+0.08539526465264298j)
(9.842489959839357+0j),(1.1194965718837442+0j),(-0.007128408343693386+0.08412843834387362j)
(9.85156626506024+0j),(1.0886478147126317+0j),(-0.0069192114385525656+0.08289352177113221j)
(9.860642570281124+0j),(1.058983470018878+0j),(-0.006718286346875861+0.0816893565615328j)
(9.869718875502008+0j),(1.0304449915945701+0j),(-0.006525217770425037+0.08051483902656432j)
(9.878795180722891+0j),(1.0029773670546334+0j),(-0.006339615714840795+0.07936891701055859j)
(9.887871485943775+0j),(0.9765288667141065+0j),(-0.006161113680094778+0.07825058695189276j)
(9.896947791164658+0j),(0.9510508129316136+0j),(-0.005989366999096586+0.07715889114059844j)
(9.906024096385542+0j),(0.9264973680431922+0j),(-0.005824051310828313+0.07609291515743861j)
(9.915100401606425+0j),(0.90282533920092+0j),(-0.0056648611557656445+0.07505178548077016j)
(9.924176706827309+0j),(0.8799939986006018+0j),(-0.0055115086825808365+0.07403466724867934j)
(9.933253012048192+0j),(0.8579649177326684+0j),(-0.005363722456215132+0.07304076216488863j)
(9.942329317269076+0j),(0.8367018144256021+0j),(-0.005221246358391052+0.07206930653791557j)
(9.95140562248996+0j),(0.81617041157025+0j),(-0.005083838572502194+0.07111956944379606j)
(9.960481927710843+0j),(0.7963383065208595+0j),(-0.004951270645599401+0.07019085100348496j)
(9.969558232931726+0j),(0.7771748502643864+0j),(-0.004823326620888487+0.06928248076676179j)
(9.97863453815261+0j),(0.7586510355351652+0j),(-0.00469980223477667+0.06839381619511122j)
(9.987710843373494+0j),(0.7407393931291527+0j),(-0.004580504173065284+0.06752424123665378j)
(9.996787148594377+0j),(0.723413895740761+0j),(-0.00446524938138639+0.06667316498673524j)
(10.00586345381526+0j),(0.7066498687074187+0j),(-0.004353864425432153+0.06584002042828593j)
(10.014939759036144+0j),(0.6904239071027977+0j),(-0.004246184896930985+0.06502426324651485j)
(10.024016064257028+0j),(0.6747137986697217+0j),(-0.00414205486168819+0.06422537071291184j)
(10.033092369477911+0j),(0.6594984521292111+0j),(-0.004041326346338476+0.06344284063391918j)
(10.042168674698795+0j),(0.6447578304429527+0j),(-0.003943858860754043+0.06267619035998036j)
(10.051244979919678+0j),(0.63047288864329+0j),(-0.0038495189533189747+0.0619249558509896j)
(10.060321285140562+0j),(0.6166255158783189+0j),(-0.003758179796523477+0.061188690794463645j)
(10.069397590361445+0j),(0.6031984813498394+0j),(-0.0036697208005502108+0.060466965773025357j)
(10.078473895582329+0j),(0.5901753838492507+0j),(-0.0035840272527230856+0.05975936747803497j)
(10.087550200803213+0j),(0.5775406046213706+0j),(-0.0035009899808692495+0.059065497966436405j)
(10.096626506024096+0j),(0.5652792633085819+0j),(-0.0034205050388074216+0.05838497395809058j)
(10.10570281124498+0j),(0.5533771767482648+0j),(-0.0033424734123245784+0.05771742617106623j)
(10.114779116465863+0j),(0.5418208204149633+0j),(-0.0032668007441369116+0.057062498692530265j)
(10.123855421686747+0j),(0.5305972923158375+0j),(-0.0031933970764545555+0.05641984838305264j)
(10.13293172690763+0j),(0.5196942791631639+0j),(-0.0031221766098799685+0.05578914431228254j)
(10.142008032128514+0j),(0.5091000246619033+0j),(-0.003053057477472644+0.05517006722410163j)
(10.151084337349397+0j),(0.49880329976299614+0j),(-0.0029859615329044867+0.05456230902948025j)
(10.16016064257028+0j),(0.48879337474494267+0j),(-0.002920814151716032+0.05396557232539248j)
(10.169236947791164+0j),(0.4790599929967311+0j),(-0.002857544044759749+0.05337956993824517j)
(10.178313253012048+0j),(0.4695933463851437+0j),(-0.0027960830829885626+0.05280402449038887j)
(10.187389558232931+0j),(0.4603840520982857+0j),(-0.002736366132811486+0.05223866798836555j)
(10.196465863453815+0j),(0.4514231308654863+0j),(-0.002678330901298189+0.051683241431641457j)
(10.205542168674699+0j),(0.4427019864611402+0j),(-0.002621917790567923+0.05113749444064918j)
(10.214618473895582+0j),(0.4342123864070914+0j),(-0.0025670697607489057+0.05060118490304702j)
(10.223694779116466+0j),(0.4259464437943329+0j),(-0.0025137322009389073+0.05007407863716386j)
(10.23277108433735+0j),(0.4178966001507493+0j),(-0.0024618528076406397+0.049555949071672024j)
(10.241847389558233+0j),(0.4100556092868682+0j),(-0.0024113814701834+0.049046576940584306j)
(10.250923694779116+0j),(0.4024165220565919+0j),(-0.0023622701626784324+0.048545749992733166j)
(10.26+0j),(0.39497267197435004+0j),(-0.002314472842087731+0.04805326271493924j)
