dl,cs,cs0,t0
(0.11124730254639621+0j),(5.015404791256265+0j),(5.082232068641595+25.108571817737484j),(0.46161228601076293+0j)
(0.11099697885196375+0j),(5.483552096715789+0j),(5.5534968345721225+26.23891862994323j),(0.5166074697337291+0j)
(0.11074665515753129+0j),(6.023247383557987+0j),(6.096646457930365+27.476657226514288j),(0.5846162307892943+0j)
(0.11049633146309884+0j),(6.648131240536731+0j),(6.725353672460453+28.836302573606j),(0.6686230428092719+0j)
(0.11024600776866637+0j),(7.373874656871243+0j),(7.45530419113382+30.33577064402593j),(0.7697372894905924+0j)
(0.10999568407423392+0j),(8.218409316372869+0j),(8.30441114222672+31.99974236526641j),(0.8811899501314392+0j)
(0.10974536037980147+0j),(9.205870130103015+0j),(9.296773504519784+33.86677891263013j),(0.9772480630614169+0j)
(0.109495036685369+0j),(10.382124055917888+0j),(10.478344089031177+35.99534242537546j),(1.0135056676612744+0j)
(0.10924471299093656+0j),(11.8373984783976+0j),(11.939781398830824+38.44915343593587j),(0.9669282165758714+0j)
(0.10899438929650411+0j),(13.70040074344538+0j),(13.810450143111039+41.266960287486505j),(0.8646459776605406+0j)
(0.10874406560207166+0j),(16.114569883823954+0j),(16.234261636879488+44.47010914211802j),(0.7481836645261979+0j)
(0.10849374190763919+0j),(19.258589449956965+0j),(19.390183499354396+48.09059913402957j),(0.6416706651057742+0j)
(0.10824341821320674+0j),(23.39833299149433+0j),(23.54444125727739+52.164345172141566j),(0.5523822129577626+0j)
(0.10799309451877427+0j),(28.943234004682267+0j),(29.10699948716287+56.6901892392176j),(0.4797370726681202+0j)
(0.10774277082434182+0j),(36.51631857395537+0j),(36.70154200978034+61.5472847114519j),(0.42088324182428116+0j)
(0.10749244712990937+0j),(47.03869873051711+0j),(47.24971289928938+66.31466019676584j),(0.372879402406708+0j)
(0.10724212343547693+0j),(61.75923783469754+0j),(62.00001111480437+69.87425368348251j),(0.3333045528009392+0j)
(0.10699179974104446+0j),(81.92293962294468+0j),(82.19410311593097+69.63865476213604j),(0.30033627608278257+0j)
(0.10674147604661198+0j),(107.18319095581934+0j),(107.47474069527023+60.614519673843176j),(0.27270550221990447+0j)
(0.10649115235217955+0j),(131.73140312897607+0j),(132.01185086428939+36.57107298533074j),(0.24960543230285615+0j)
(0.10624082865774709+0j),(142.3947752889688+0j),(142.61356172829215-1.96895151562824j),(0.23039142238635182+0j)
(0.10599050496331464+0j),(130.57648424991118+0j),(130.69958530633002-40.34253886746932j),(0.21413403488376007+0j)
(0.10574018126888217+0j),(104.89125427662165+0j),(104.92773277690776-63.76281718332664j),(0.199811889517949+0j)
(0.10548985757444972+0j),(78.82797456030849+0j),(78.80839132123351-71.79253116199972j),(0.18686168994541805+0j)
(0.10523953388001728+0j),(58.297738220043456+0j),(58.24842740065807-70.98457558935935j),(0.17510021868976067+0j)
(0.1049892101855848+0j),(43.52395900221629+0j),(43.46109071898874-66.5308298124404j),(0.16443853810141087+0j)
(0.10473888649115234+0j),(33.1187103314273+0j),(33.051007760718605-61.06356757767327j),(0.15478056863017775+0j)
(0.10448856279671989+0j),(25.73923755231059+0j),(25.671152293253062-55.67993355884489j),(0.14602074801413642+0j)
(0.10423823910228745+0j),(20.412515354434706+0j),(20.346229716934538-50.76675413465803j),(0.1380558107811056+0j)
(0.10398791540785499+0j),(16.486942706794057+0j),(16.423458716702246-46.41539146802048j),(0.1307915394889689+0j)
(0.10373759171342253+0j),(13.53354697591804+0j),(13.473255571449315-42.60402049177429j),(0.12414488572547726+0j)
(0.10348726801899008+0j),(11.268150600141357+0j),(11.211128227415275-39.273569814713106j),(0.11804378429970563+0j)
(0.10323694432455761+0j),(9.499564691836728+0j),(9.445729234421568-36.3581168455338j),(0.11242607564546868+0j)
(0.10298662063012516+0j),(8.096726888303042+0j),(8.045920476705675-33.796208472315946j),(0.10723819998511336+0j)
(0.1027362969356927+0j),(6.968032343793888+0j),(6.920065570900626-31.53432703584487j),(0.10243393676312983+0j)
(0.10248597324126024+0j),(6.0482358288322+0j),(6.002911257644051-29.527234290721115j),(0.09797328519926972+0j)
(0.1022356495468278+0j),(5.290031954874006+0j),(5.2471563580988425-27.73718298254374j),(0.09382150626736496+0j)
(0.10198532585239535+0j),(4.658549669067267+0j),(4.617940078919149-26.13281932170279j),(0.08994831673884901+0j)
(0.10173500215796288+0j),(4.12768768692714+0j),(4.089174035768275-24.688101340874624j),(0.08632721614609934+0j)
(0.10148467846353043+0j),(3.6776319912665647+0j),(3.6410578881936577-23.381346191197405j),(0.08293492600997501+0j)
(0.10123435476909798+0j),(3.293145400188455+0j),(3.2583679114612427-22.194431450702538j),(0.079750922337907+0j)
(0.10098403107466551+0j),(2.9623700337107604+0j),(2.929258957381603-21.112141323604053j),(0.07675704503680025+0j)
(0.10073370738023306+0j),(2.6759761421255166+0j),(2.644413053722212-20.12163749679544j),(0.07393717059087601+0j)
(0.10048338368580059+0j),(2.4265485212399973+0j),(2.3964257452622255-19.212032860876803j),(0.07127693678847118+0j)
(0.10023305999136817+0j),(2.2081383303677575+0j),(2.179357922026108-18.374048353370235j),(0.06876351034907996+0j)
(0.0999827362969357+0j),(2.0159316761599886+0j),(1.9884044571619486-17.5997362810757j),(0.06638539000857531+0j)
(0.09973241260250322+0j),(1.8460017133528528+0j),(1.819646382152818-16.882256578879215j),(0.06413223900917611+0j)
(0.09948208890807078+0j),(1.6951212193458385+0j),(1.66986354297129-16.21569518546287j),(0.06199474206256724+0j)
(0.09923176521363833+0j),(1.5606194647269827+0j),(1.5363915519124924-15.594915971826689j),(0.059964482758345206+0j)
(0.09898144151920588+0j),(1.4402718823630596+0j),(1.4170115338256632-15.015439471206887j),(0.05803383811783692+0j)
(0.09873111782477341+0j),(1.3322142696141592+0j),(1.309864399441779-14.473343092583011j),(0.05619588758032995+0j)
(0.09848079413034096+0j),(1.234875516992862+0j),(1.2133836384306038-13.965178624394216j),(0.054444334183222205+0j)
(0.09823047043590852+0j),(1.1469244533113325+0j),(1.1262422222045148-13.48790371376228j),(0.05277343608222006+0j)
(0.09798014674147604+0j),(1.067227538324684+0j),(1.047310347805842-13.038824692586042j),(0.05117794687054022+0j)
(0.09772982304704358+0j),(0.9948149575336057+0j),(0.9756215780419485-12.615548658095625j),(0.04965306341137869+0j)
(0.09747949935261112+0j),(0.928853274167154+0j),(0.9103455334570316-12.21594313549403j),(0.04819438010703063+0j)
(0.09722917565817868+0j),(0.868623234982776+0j),(0.8507657333523279-11.838101980333287j),(0.046797848699964555+0j)
(0.09697885196374623+0j),(0.8135016541945054+0j),(0.7962615107140324-11.4803164384797j),(0.045459742842986595+0j)
(0.09672852826931377+0j),(0.7629465449765745+0j),(0.74629317100204-11.141050487482492j),(0.0441766267930801+0j)
(0.09647820457488132+0j),(0.7164848528137698+0j),(0.7003897495276181-10.818919746834375j),(0.04294532768108969+0j)
(0.09622788088044885+0j),(0.6737022853584482+0j),(0.6581388624866928-10.512673375234826j),(0.04176291089079211+0j)
(0.0959775571860164+0j),(0.6342348408437193+0j),(0.6191782540570834-10.221178477640917j),(0.04062665814896495+0j)
(0.09572723349158395+0j),(0.5977617198033214+0j),(0.5831887246247931-9.943406629129948j),(0.03953404798520121+0j)
(0.0954769097971515+0j),(0.5639993689450845+0j),(0.5498881892608719-9.678422190670014j),(0.03848273826832666+0j)
(0.09522658610271903+0j),(0.5326964560060576+0j),(0.5190266655160333-9.425372147130092j),(0.03747055056690879+0j)
