dl,cs,cs0,cs1,cs2,cs3,cs4,cs5,t0,t1,t2,t3,t4,t5
0.06042296072507553,0.0026470196570975743,0.0026469867091655983,0.0,3.2947931976042834e-08,0.0,2.6631079969917416e-20,0.0,0.0024415620367331573,0.0010999751262625443,3.852307634892608e-06,4.249236170769492e-09,2.581457728827913e-12,9.776059687798945e-16
0.07007032420218842,0.007878006042815557,0.007877851398013544,0.0,1.5464480201199871e-07,0.0,2.8514401927991597e-19,0.0,0.004884587575297692,0.0017157884114100894,9.678469137773906e-06,1.2020155156884087e-08,9.795686713300504e-12,4.986054578085133e-15
0.07971768767930133,0.024860714699689132,0.02486054122874625,0.0,1.7347094287979044e-07,0.0,2.2489030623695207e-18,0.0,0.009871879917011146,0.0025277737213163474,1.1661997436684385e-05,2.9793105812330442e-08,3.129743077174908e-11,2.060334791804863e-14
0.08936505115641423,0.09300954442320825,0.09300899018891022,0.0,5.542342980162152e-07,0.0,1.4017805552064788e-17,0.0,0.021405237667814866,0.0035644302613262965,2.3367878533355115e-05,6.682596124602487e-08,8.759440171053552e-11,7.238742824020886e-14
0.09901241463352714,0.5611532373421481,0.5611519116923174,0.0,1.3256498305755504e-06,0.0,7.251389150891974e-17,0.0,0.058253195886676545,0.004855935499934893,4.004137120802064e-05,1.3910823289426626e-07,2.2073382280797045e-10,2.2357932854751133e-13
0.10865977811064002,71.28268889477877,71.28268604668328,0.0,2.8480954932326045e-06,0.0,3.2257681982666654e-16,0.0,0.7205277693996538,0.006435548621559874,6.440965402135458e-05,2.7668965853923446e-07,5.10921311736622e-10,6.218677245638073e-13
0.11830714158775293,1.8689033017298435,1.8688976182834924,0.0,5.683446349848849e-06,0.0,1.2678405463848907e-15,0.0,0.12702628536132377,0.008342218528502133,9.90653374172797e-05,5.894969804593967e-07,1.1028384685831605e-09,1.5858362521341685e-12
0.12795450506486583,0.6400644002090929,0.6400536983299248,0.0,1.0701879163686153e-05,0.0,4.4998742980424585e-15,0.0,0.08039955931672646,0.010625683919447048,0.00014702476095762725,4.962316307176573e-07,2.2471103444192926e-09,3.759182952984697e-12
0.13760186854197876,0.4000595007942854,0.40004029135240154,0.0,1.9209441869192246e-05,0.0,1.4709114109442144e-14,0.0,0.06835433777927291,0.01335719722680488,0.00021182956963226068,1.1494794699262127e-06,4.369041969167428e-09,8.373558071083662e-12
0.14724923201909162,0.31302742282553836,0.3129943087296449,0.0,3.3114095848140096e-05,0.0,4.5306968610653366e-14,0.0,0.06470102190968866,0.016654474972407747,0.00029762154602806963,1.9397099071655004e-06,8.20548333482869e-09,1.768100950167587e-11
0.15689659549620452,0.2738991191340327,0.27384397507468844,0.0,5.514405920646641e-05,0.0,1.378197306832382e-13,0.0,0.06448444947132526,0.02074872917050881,0.0004092302839693221,3.081153851988574e-06,1.524887642697383e-08,3.564872171682395e-11
0.16654395897331745,0.2552268114836816,0.25513767102813834,0.0,8.914045498657265e-05,0.0,5.566708138873342e-13,0.0,0.06607026656370929,0.026208265128932057,0.0005522950955312274,4.72122571152823e-06,3.2530949301797385e-08,6.906654453471312e-11
0.17619132245043032,0.24686888021747688,0.24672841568309634,0.0,0.00014046453415212474,0.0,2.284131644237549e-13,0.0,0.06873595668345214,0.0350158381780495,0.0007334537545737681,7.036860286208029e-06,2.2045182943535393e-08,1.293514841355186e-10
0.1858386859275432,0.24410022335878712,0.2438836225834253,0.0,0.0002166007742025657,0.0,1.159250995255723e-12,0.0,0.07208042288243431,0.06294631015466975,0.0009606628744630996,1.0248335276356295e-05,5.238337682966608e-08,2.3575370043484867e-10
